# UNATTESTED. Workspace file inventory, post-seal read-only. REBUILT 2026-09-03 correcting REPORT 036 section 4 (was 6 runs / 2,037 rows). Skip this line.
run,group,file_path,parent_structure_id,parent_class,transformation,reported_value,reported_uncertainty,accuracy_tier,pristine_parent_measured_same_setting
rep02,U,rep02/mod/0000[Cd][nan]2[ASR]1__1of2.cif,0000[Cd][nan]2[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Cd][nan]3[ASR]12__1of2.cif,0000[Cd][nan]3[ASR]12,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Cd][pcu]3[ASR]3__1of2.cif,0000[Cd][pcu]3[ASR]3,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Cd][pcu]3[ASR]4__1of2.cif,0000[Cd][pcu]3[ASR]4,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Cd][sql]2[ASR]1__1of2.cif,0000[Cd][sql]2[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Cd][sql]2[ASR]2__1of4.cif,0000[Cd][sql]2[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Co][dia]3[ASR]1__1of2.cif,0000[Co][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Co][nan]2[ASR]4__1of2.cif,0000[Co][nan]2[ASR]4,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Co][pcu]3[ASR]1__1of2.cif,0000[Co][pcu]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Co][sit]3[ASR]1__1of2.cif,0000[Co][sit]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Co][sit]3[ASR]2__1of2.cif,0000[Co][sit]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Cu][dia]3[ASR]1__1of2.cif,0000[Cu][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Cu][dia]3[ASR]2__1of2.cif,0000[Cu][dia]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Cu][hex]3[ASR]1__1of2.cif,0000[Cu][hex]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Cu][ths]3[ASR]3__1of2.cif,0000[Cu][ths]3[ASR]3,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[DyCu][sqc]3[ASR]1__1of2.cif,0000[DyCu][sqc]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Er][lcy]3[ASR]1__1of2.cif,0000[Er][lcy]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Eu][hcb]2[ASR]1__1of2.cif,0000[Eu][hcb]2[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Eu][sql]2[ASR]1__1of2.cif,0000[Eu][sql]2[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Fe][acs]3[ASR]1__1of2.cif,0000[Fe][acs]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Fe][acs]3[ASR]2__1of2.cif,0000[Fe][acs]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Fe][pts]3[ASR]1__1of2.cif,0000[Fe][pts]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Ho][bey]2[ASR]1__1of2.cif,0000[Ho][bey]2[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[In][pts]3[ASR]1__1of2.cif,0000[In][pts]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Lu][lcy]3[ASR]1__1of2.cif,0000[Lu][lcy]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[SiCu][pcu]3[ASR]1__1of2.cif,0000[SiCu][pcu]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Tb][pcu]3[ASR]1__1of2.cif,0000[Tb][pcu]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[ZnSi][pcu]3[ASR]1__1of2.cif,0000[ZnSi][pcu]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Zn][dia]3[ASR]2__1of2.cif,0000[Zn][dia]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Zn][hcb]2[ASR]4__1of2.cif,0000[Zn][hcb]2[ASR]4,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Zn][hex]3[ASR]1__1of2.cif,0000[Zn][hex]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Zn][hms]3[ASR]1__1of2.cif,0000[Zn][hms]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Zn][nan]2[ASR]1__1of2.cif,0000[Zn][nan]2[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Zn][nan]3[ASR]2__1of2.cif,0000[Zn][nan]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Zn][pcu]3[ASR]3__1of2.cif,0000[Zn][pcu]3[ASR]3,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Zn][pcu]3[ASR]4__1of2.cif,0000[Zn][pcu]3[ASR]4,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Zn][pcu]3[ASR]5__1of2.cif,0000[Zn][pcu]3[ASR]5,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Zn][sql]2[ASR]4__1of2.cif,0000[Zn][sql]2[ASR]4,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/0000[Zn][srs]3[ASR]1__1of2.cif,0000[Zn][srs]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1995[Ag][nan]3[ION]1__1of3.cif,1995[Ag][nan]3[ION]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1996[Zn][dia]3[ASR]1__1of2.cif,1996[Zn][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1996[Zn][dia]3[FSR]1__1of2.cif,1996[Zn][dia]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1997[Cu][dia]3[ASR]1__1of3.cif,1997[Cu][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1997[Cu][dia]3[FSR]1__1of3.cif,1997[Cu][dia]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1998[Cu][cds]3[ASR]1__1of2.cif,1998[Cu][cds]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1999[Ag][ths]3[ASR]1__1of2.cif,1999[Ag][ths]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1999[Ag][ths]3[FSR]1__1of2.cif,1999[Ag][ths]3[FSR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1999[Cd][dia]3[ASR]1__1of2.cif,1999[Cd][dia]3[ASR]1,retained,"""interpenetration removal""",,,,unknown
rep02,U,rep02/mod/1999[Cd][dia]3[ASR]2__1of2.cif,1999[Cd][dia]3[ASR]2,retained,"""interpenetration removal""",,,,unknown
