structure_id,coordinate_group_id,coordinate_group_sha256,tier,n_atoms,n_atoms_cif,volume_A3,density_g_cm3,cell_a,cell_b,cell_c,cell_alpha,cell_beta,cell_gamma,space_group_hm,space_group_number,chemical_formula_sum,metal_elements,n_metal_atoms,n_C,n_H,n_N,n_O,n_F,n_Cl,n_S,n_B
0000[Ag][nan]3[ASR]1,1650,2de509b85548d5cc3c86a32a4fe2bbf1728ea85f778a5c569f127b87d37104de,structural,56,56,685.439,2.2284,3.6934,12.1783,15.239,90,90.1,90,P 1,1,Ag4 H16 C24 N4 O8,Ag,4,24,16,4,8,0,0,0,0
0000[Ag][sql]2[ASR]1,2072,3a02d590e9b301d46c625d623730525c2c2dca9303fbbc61f2ebb1b9c9ab944a,structural,154,154,1553.206,1.4978,17.8468,17.8468,4.8765,90,90,90,P 1,1,Ag2 H64 C64 N16 O8,Ag,2,64,64,16,8,0,0,0,0
0000[Ag][sra]3[ASR]1,6561,b794d2de76c7310553f0aab0b64aaacc62c6fbeab827a8b7a3b7d12ac83bdc0a,structural,144,144,2463.017,1.1007,9.3495,23.867,12.6734,90,119.432,90,P 1,1,Ag4 H48 C68 N24,Ag,4,68,48,24,0,0,0,0,0
0000[AsCd][cds]3[ASR]1,7985,df44f05f5748f44de24b2894b53d27c337d48e143a6f25c7db8e7cc4a63f6c35,structural,98,98,1067.472,2.0551,4.7595,9.925,22.609,90,91.81,90,P 1,1,Cd2 As4 H36 C32 N4 O20,As;Cd,6,32,36,4,20,0,0,0,0
0000[Cd][bcu]3[ASR]1,8545,ee7e37a8e2c7a9024a391e7cfd4d96778bc3c456e9209aed74987706c7d2352a,structural,188,188,2552.494,1.324,9.7055,17.8498,14.7845,90,94.7485,90,P 1,1,Cd4 H64 C96 N8 O16,Cd,4,96,64,8,16,0,0,0,0
0000[Cd][deh]3[ASR]1,2013,3843d1d21fb19981488a513d4845dda6e9ced0eefa18460ef94aa5b2cd6a7978,structural,256,256,4439.747,1.1419,18.1771,18.1771,18.1771,116.578,116.578,96.0368,P 1,1,Cd8 H88 C120 N8 O32,Cd,8,120,88,8,32,0,0,0,0
0000[Cd][dia]3[ASR]1,7221,cab784ee040156d70fd8d84e075307a66087da2cb7a16e8c69d9fd44cf54360e,structural,176,176,2047.054,1.5177,12.1085,12.1085,16.662,66.6359,113.364,104.291,P 1,1,Cd4 H68 C68 N20 O16,Cd,4,68,68,20,16,0,0,0,0
0000[Cd][fsc]3[ASR]1,6448,b46455bafacfb8552506fde495d218a3cb56c6e5409d7cfe11aec1629687deea,structural,59,59,937.7,1.2588,7.9013,10.4432,12.1454,103.007,99.914,100.085,P 1,1,Cd1 H14 C24 N12 O8,Cd,1,24,14,12,8,0,0,0,0
0000[Cd][nan]2[ASR]1,8993,fb80702db0b692b478f00f118fb351017c82630e2a2d4bd02fea9588b17adf07,structural,134,134,2285.445,1.4004,10.222,10.222,33.254,80.5468,99.4532,138.075,P 1,1,Cd6 H36 C64 O28,Cd,6,64,36,0,28,0,0,0,0
0000[Cd][nan]2[ASR]2,7154,c85a41768874e2ee2f91817db383685eba936335e65f4bdf54fab4c31998cade,structural,224,224,2558.409,1.5859,13.5021,13.5021,16.7804,67.0668,112.933,107.049,P 1,1,Cd4 H72 C104 N16 O28,Cd,4,104,72,16,28,0,0,0,0
0000[Cd][nan]3[ASR]1,1522,2a204d28c546231552f6bd98f847d16b1a8a5b863991b20f6e6a70eae1f74f00,structural,488,488,6739.14,1.477,21.9718,17.3189,17.71,90,90,90,P 1,1,Cd16 H160 C232 N16 O64,Cd,16,232,160,16,64,0,0,0,0
0000[Cd][nan]3[ASR]10,1820,324f1e0c2fcca04ddf938c51bbe828f74bddfde5c72a96c71f326fb9e8494b08,structural,344,344,4627.879,1.3713,12.705,24.2253,15.0542,90,92.802,90,P 1,1,Cd8 H120 C148 N32 O36,Cd,8,148,120,32,36,0,0,0,0
0000[Cd][nan]3[ASR]11,4164,74baaf457f06b6b813091d087e4f2cb91006866411776543894372f5fc1f870f,structural,344,344,4654.958,1.3634,12.711,24.3,15.085,90,92.506,90,P 1,1,Cd8 H120 C148 N32 O36,Cd,8,148,120,32,36,0,0,0,0
0000[Cd][nan]3[ASR]12,7146,c8157d67859a1525b83fa4d7ac435aef273806e5bff5abc964e2584973714168,structural,464,464,8701.651,0.8501,22.1015,22.1015,24.938,90,90,134.412,P 1,1,Cd8 H192 C200 N32 O32,Cd,8,200,192,32,32,0,0,0,0
0000[Cd][nan]3[ASR]13,12,00407518ed91fa44c03d0fec36f371e1c757806790760c395734d6b80331b12c,structural,172,172,2027.375,2.1454,13.0959,13.0959,13.65,90,90,120,P 1,1,Cd10 H54 C36 N72,Cd,10,36,54,72,0,0,0,0,0
0000[Cd][nan]3[ASR]4,5603,9ce9cb07a30528650b02331f2eaffa67c502d5de308c0fb736ec3797ebb50c81,structural,82,82,1090.163,1.5899,11.9618,11.9618,14.4132,74.1035,105.897,146.519,P 1,1,Cd3 H28 C32 N5 O14,Cd,3,32,28,5,14,0,0,0,0
0000[Cd][nan]3[ASR]5,5756,a1471296b4177d4b3ceb3bef2a73d39ef727ce0b162bb7343f05e75c53af7953,structural,232,232,3459.152,1.2774,7.79,20.666,21.487,90,90,90,P 1,1,Cd8 H96 C96 O32,Cd,8,96,96,0,32,0,0,0,0
