run,group,strategy,t_first_job_submitted,t_first_declared_strategy,t_first_high_accuracy_calc,t_first_encounter_cu_sql,t_final_filing,t_session_end,end_reason,spend_fraction
rep01,C,,3.00,,3.23,7.00,59.37,59.37,spend_cap,1.017
rep02,U,,0.96,,16.38,32.39,57.85,64.78,spend_cap,1.029
rep03,U,,0.39,16.20,16.64,16.98,72.12,77.40,spend_cap,1.310
rep04,U,,0.26,1.59,16.15,16.06,77.44,77.52,filing,0.924
rep05,C,,0.43,,16.26,4.57,68.90,77.38,spend_cap,1.020
rep06,C,,0.26,34.06,1.31,16.07,78.59,53.32,spend_cap,1.266
rep07,C,,0.34,0.00,3.72,33.00,55.83,58.85,spend_cap,1.042
rep08,C,,0.22,20.74,18.43,4.31,66.48,77.35,filing,0.956
rep09,U,,0.43,11.09,17.92,63.31,77.59,77.59,spend_cap,1.484
rep10,U,,0.18,31.93,10.27,15.10,63.93,63.93,spend_cap,1.010
rep11,C,,0.36,10.09,15.69,31.38,44.47,49.74,spend_cap,1.201
rep12,C,,0.18,,15.21,0.13,60.28,60.33,filing,0.702
rep13,C,,0.33,15.46,15.46,27.29,60.38,60.38,spend_cap,1.065
rep15,U,,0.29,0.00,15.99,10.04,69.91,76.49,spend_cap,1.210
rep16,U,,0.21,3.29,2.73,17.12,49.84,58.19,spend_cap,1.018
rep17,U,,0.08,15.42,15.14,1.22,32.59,32.60,filing,0.589
