# UNATTESTED and DERIVED. Reconstructed from RASPA output trees in the replicate workspaces on bnode0, read-only, 2026-09-03. Not an extraction from any replicate-authored record; the per-job association does not exist in one. Outside the sealed 16/16 attestation. t_submitted is RASPA's own start, NOT the PBS submit time. Skip this line.
run,job_id,t_submitted,t_completed,accuracy_tier,structure_id,structure_class,init_cycles,production_cycles,id_source,output_path
rep01,,0.418,0.418,low,,,100,200,non-structure run (test / calibration / bulk fluid),rep01/work/t1/Output/System_0/output_s_test_7.3.2_298.000000_6.5e+06.data
rep01,,0.516,0.604,low,,,200,500,non-structure run (test / calibration / bulk fluid),rep01/work/t2/Output/System_0/output_sT_2.2.2_298.000000_6.5e+06.data
rep01,,0.647,0.737,low,,,200,500,non-structure run (test / calibration / bulk fluid),rep01/work/t3/Output/System_0/output_sT_2.2.2_298.000000_6.5e+06.data
rep01,,0.890,2.228,low,2016[Mg][soc]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/pilot/2016_Mg__soc_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,2.229,2.824,low,2016[Mg][soc]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/pilot/2016_Mg__soc_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,0.890,1.970,low,2016[ZnCu][idp]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/pilot/2016_ZnCu__idp_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,1.971,3.270,low,2016[ZnCu][idp]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/pilot/2016_ZnCu__idp_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,0.891,2.511,low,2013[Zn][etb]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/pilot/2013_Zn__etb_3_ASR_1_/p580000/Output/System_0/output_frame_3.3.3_298.000000_580000.data
rep01,,2.512,3.197,low,2013[Zn][etb]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/pilot/2013_Zn__etb_3_ASR_1_/p6500000/Output/System_0/output_frame_3.3.3_298.000000_6.5e+06.data
rep01,,0.912,4.000,low,2023[Eu][nan]3[FSR]2,retained,2000,10000,underscore form in path,rep01/runs/pilot/2023_Eu__nan_3_FSR_2_/p580000/Output/System_0/output_frame_3.3.3_298.000000_580000.data
rep01,,0.890,2.094,low,2008[Zn][nan]3[ASR]20,retained,2000,10000,underscore form in path,rep01/runs/pilot/2008_Zn__nan_3_ASR_20_/p580000/Output/System_0/output_frame_4.4.4_298.000000_580000.data
rep01,,2.095,2.687,low,2008[Zn][nan]3[ASR]20,retained,2000,10000,underscore form in path,rep01/runs/pilot/2008_Zn__nan_3_ASR_20_/p6500000/Output/System_0/output_frame_4.4.4_298.000000_6.5e+06.data
rep01,,0.890,1.899,low,2014[Cu][nan]3[ASR]23,retained,2000,10000,underscore form in path,rep01/runs/pilot/2014_Cu__nan_3_ASR_23_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,1.899,2.419,low,2014[Cu][nan]3[ASR]23,retained,2000,10000,underscore form in path,rep01/runs/pilot/2014_Cu__nan_3_ASR_23_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,0.891,3.456,low,2019[Cu][gar]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/pilot/2019_Cu__gar_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,3.458,3.467,low,2019[Cu][gar]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/pilot/2019_Cu__gar_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,0.890,2.304,low,2021[Co][svk]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/pilot/2021_Co__svk_3_ASR_1_/p580000/Output/System_0/output_frame_3.3.2_298.000000_580000.data
rep01,,2.305,2.702,low,2021[Co][svk]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/pilot/2021_Co__svk_3_ASR_1_/p6500000/Output/System_0/output_frame_3.3.2_298.000000_6.5e+06.data
rep01,,1.162,2.302,high,2012[Cu][tbo]3[ASR]1,retained,10000,50000,underscore form in path,rep01/runs/cgtime/2012_Cu__tbo_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,2.302,4.723,high,2012[Cu][tbo]3[ASR]1,retained,10000,50000,underscore form in path,rep01/runs/cgtime/2012_Cu__tbo_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.215,3.734,low,2009[Cu][tbo]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2009_Cu__tbo_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,3.735,7.372,low,2009[Cu][tbo]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2009_Cu__tbo_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.215,3.733,low,2012[Cu][wbl]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2012_Cu__wbl_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,3.733,9.080,low,2012[Cu][wbl]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2012_Cu__wbl_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.215,3.696,low,2018[Cu][fmj]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Cu__fmj_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,3.696,7.195,low,2018[Cu][fmj]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Cu__fmj_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.526,4.055,low,2018[Cu][fmj]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Cu__fmj_3_ASR_2_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.056,7.461,low,2018[Cu][fmj]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Cu__fmj_3_ASR_2_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.693,5.321,low,2013[Cu][nts]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2013_Cu__nts_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,5.322,6.834,low,2013[Cu][nts]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2013_Cu__nts_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.693,4.713,low,2022[Sc][fmz]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2022_Sc__fmz_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.714,5.646,low,2022[Sc][fmz]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2022_Sc__fmz_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.693,4.770,low,2017[Fe][fmz]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2017_Fe__fmz_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.771,5.698,low,2017[Fe][fmz]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2017_Fe__fmz_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.693,4.725,low,2018[Ni][fmz]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Ni__fmz_3_ASR_2_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.725,5.621,low,2018[Ni][fmz]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Ni__fmz_3_ASR_2_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.694,4.265,low,2019[Cu][nan]3[ASR]8,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Cu__nan_3_ASR_8_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.265,7.085,low,2019[Cu][nan]3[ASR]8,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Cu__nan_3_ASR_8_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.748,4.261,low,2018[Cu][iab]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Cu__iab_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.261,7.723,low,2018[Cu][iab]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2018_Cu__iab_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,3.981,4.492,low,2022[Zn][rtl]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2022_Zn__rtl_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.493,8.225,low,2022[Zn][rtl]3[ASR]1,retained,2000,10000,underscore form in path,rep01/runs/r1/2022_Zn__rtl_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.020,4.565,low,2013[Zn][pcu]3[ASR]6,retained,2000,10000,underscore form in path,rep01/runs/r1/2013_Zn__pcu_3_ASR_6_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.566,9.465,low,2013[Zn][pcu]3[ASR]6,retained,2000,10000,underscore form in path,rep01/runs/r1/2013_Zn__pcu_3_ASR_6_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.059,4.822,low,2023[Cu][nan]3[ASR]6,retained,2000,10000,underscore form in path,rep01/runs/r1/2023_Cu__nan_3_ASR_6_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.822,9.477,low,2023[Cu][nan]3[ASR]6,retained,2000,10000,underscore form in path,rep01/runs/r1/2023_Cu__nan_3_ASR_6_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.215,4.876,low,2019[Cd][tfz]3[ASR]3,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Cd__tfz_3_ASR_3_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.876,8.405,low,2019[Cd][tfz]3[ASR]3,retained,2000,10000,underscore form in path,rep01/runs/r1/2019_Cd__tfz_3_ASR_3_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.215,4.871,low,2017[Fe][nan]3[ASR]1,excluded,2000,10000,underscore form in path,rep01/runs/r1/2017_Fe__nan_3_ASR_1_/p580000/Output/System_0/output_frame_2.2.2_298.000000_580000.data
rep01,,4.871,8.072,low,2017[Fe][nan]3[ASR]1,excluded,2000,10000,underscore form in path,rep01/runs/r1/2017_Fe__nan_3_ASR_1_/p6500000/Output/System_0/output_frame_2.2.2_298.000000_6.5e+06.data
rep01,,4.215,5.066,low,2024[Zn][pcu]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2024_Zn__pcu_3_ASR_2_/p580000/Output/System_0/output_frame_2.2.1_298.000000_580000.data
rep01,,5.067,6.037,low,2024[Zn][pcu]3[ASR]2,retained,2000,10000,underscore form in path,rep01/runs/r1/2024_Zn__pcu_3_ASR_2_/p6500000/Output/System_0/output_frame_2.2.1_298.000000_6.5e+06.data
