# UNATTESTED. Post-seal read-only copies from the replicate workspaces on bnode0, 2026-09-03. sha256 taken remotely before transfer and recomputed locally after. Skip this line.
run,role,structure_id,parent_structure_id,source_path,local_path,bytes,sha256,sha256_verified_local,n_atoms
rep02,child (agent-built),2012[In][dia]3[ASR]4__1of2,2012[In][dia]3[ASR]4,/home1/users/Bei/ws/rep02/mod/2012[In][dia]3[ASR]4__1of2.cif,analysis/fig3/rep02/mod/2012[In][dia]3[ASR]4__1of2.cif,6043,5e3e9224957a92b23cf6ea2ea8fdf0cdfad866e0dd2ee9b4769e93485efd9af5,yes,106
rep02,"parent (frozen manifest, from workspace db/)",2012[In][dia]3[ASR]4,2012[In][dia]3[ASR]4,/home1/users/Bei/ws/rep02/db/2012[In][dia]3[ASR]4.cif,analysis/fig3/rep02/db/2012[In][dia]3[ASR]4.cif,14706,56007823ebe2d8c720e45fce286257711252511d564c5ead2ff47c080393c308,yes,212
rep02,child (agent-built),2014[Zn][hms]3[ASR]1__1of2,2014[Zn][hms]3[ASR]1,/home1/users/Bei/ws/rep02/mod/2014[Zn][hms]3[ASR]1__1of2.cif,analysis/fig3/rep02/mod/2014[Zn][hms]3[ASR]1__1of2.cif,3912,c0877e9acae3a8fe2d2b3e05a1cb85623fe8b629c70c28fa09a94250d423abfc,yes,65
rep02,"parent (frozen manifest, from workspace db/)",2014[Zn][hms]3[ASR]1,2014[Zn][hms]3[ASR]1,/home1/users/Bei/ws/rep02/db/2014[Zn][hms]3[ASR]1.cif,analysis/fig3/rep02/db/2014[Zn][hms]3[ASR]1.cif,9279,50f4e27ad91dd74572776b2abaf117de57a883a4ff0c8e76cecd85dbafdcdf97,yes,130
rep02,child (agent-built),2016[InCo][pts]3[ASR]1__1of2,2016[InCo][pts]3[ASR]1,/home1/users/Bei/ws/rep02/mod/2016[InCo][pts]3[ASR]1__1of2.cif,analysis/fig3/rep02/mod/2016[InCo][pts]3[ASR]1__1of2.cif,9478,b626155a57bed1d503377929a9ca1c60d669275f6ccf8f424212ecc4ad94fbe1,yes,172
rep02,"parent (frozen manifest, from workspace db/)",2016[InCo][pts]3[ASR]1,2016[InCo][pts]3[ASR]1,/home1/users/Bei/ws/rep02/db/2016[InCo][pts]3[ASR]1.cif,analysis/fig3/rep02/db/2016[InCo][pts]3[ASR]1.cif,23453,8175ef1d75fade0e4b3f6498ab1b74deb1783dd5fdc5f4e715b47258f0b7b1a5,yes,344
rep02,child (agent-built),2021[Mn][dia]3[FSR]1__1of2,2021[Mn][dia]3[FSR]1,/home1/users/Bei/ws/rep02/mod/2021[Mn][dia]3[FSR]1__1of2.cif,analysis/fig3/rep02/mod/2021[Mn][dia]3[FSR]1__1of2.cif,10411,df0688a67a4db7d92a99ec70859e879202d46ad73d814e8b26109fd5032f3523,yes,190
rep02,"parent (frozen manifest, from workspace db/)",2021[Mn][dia]3[FSR]1,2021[Mn][dia]3[FSR]1,/home1/users/Bei/ws/rep02/db/2021[Mn][dia]3[FSR]1.cif,analysis/fig3/rep02/db/2021[Mn][dia]3[FSR]1.cif,25865,47e61775179f0cc14f0e73d30171d73ed9081143b59ad5a564dae542aa983daa,yes,380
rep06,child (agent-built),0000[Er][lcy]3[ASR]1_DENET,0000[Er][lcy]3[ASR]1,/home1/users/Bei/ws/rep06/work/mod/0000[Er][lcy]3[ASR]1_DENET.cif,analysis/fig3/rep06/work/mod/0000[Er][lcy]3[ASR]1_DENET.cif,21024,ce595684fef5fe83587a4efc3db78f2bfd9ff8466bdb0b1abbc1f50d7d63e9f6,yes,468
rep06,"parent (frozen manifest, from workspace db/)",0000[Er][lcy]3[ASR]1,0000[Er][lcy]3[ASR]1,/home1/users/Bei/ws/rep06/db/0000[Er][lcy]3[ASR]1.cif,analysis/fig3/rep06/db/0000[Er][lcy]3[ASR]1.cif,62777,e18b3d47a7d8603481b03c7ea9b902fb8ee3d7d551db3003e5df11db020ff33e,yes,936
rep06,child (agent-built),0000[Lu][lcy]3[ASR]1_DENET,0000[Lu][lcy]3[ASR]1,/home1/users/Bei/ws/rep06/work/mod/0000[Lu][lcy]3[ASR]1_DENET.cif,analysis/fig3/rep06/work/mod/0000[Lu][lcy]3[ASR]1_DENET.cif,21024,2e4642fa2841af6f02a7e78382dfb2a584621c6d4257b090e5db4ddcea9e498d,yes,468
rep06,"parent (frozen manifest, from workspace db/)",0000[Lu][lcy]3[ASR]1,0000[Lu][lcy]3[ASR]1,/home1/users/Bei/ws/rep06/db/0000[Lu][lcy]3[ASR]1.cif,analysis/fig3/rep06/db/0000[Lu][lcy]3[ASR]1.cif,62714,8fc848b3706e430c5fcb2377ae1b29cfccff95c6084e4a55084268ea33b64cbf,yes,936
rep06,child (agent-built),2010[Zn][rtl]3[ASR]1_DENET,2010[Zn][rtl]3[ASR]1,/home1/users/Bei/ws/rep06/work/mod/2010[Zn][rtl]3[ASR]1_DENET.cif,analysis/fig3/rep06/work/mod/2010[Zn][rtl]3[ASR]1_DENET.cif,22447,e18528e109db7ab20af3c66a7640039afa32270dfc3337d080066da7fa319628,yes,500
rep06,"parent (frozen manifest, from workspace db/)",2010[Zn][rtl]3[ASR]1,2010[Zn][rtl]3[ASR]1,/home1/users/Bei/ws/rep06/db/2010[Zn][rtl]3[ASR]1.cif,analysis/fig3/rep06/db/2010[Zn][rtl]3[ASR]1.cif,66936,d720d612cd17d52f7bd25f7c3451ca0db27e1b14530ecabfd49c3500f21514ec,yes,1000
rep10,child (agent-built),M2013_Yb__nia_3_ASR_1_f25,2013[Yb][nia]3[ASR]1,/home1/users/Bei/ws/rep10/mod/M2013_Yb__nia_3_ASR_1_f25.cif,analysis/fig3/rep10/mod/M2013_Yb__nia_3_ASR_1_f25.cif,10223,cf4d84816b9bdb4d48f00abcb3c43890a8e0eed3f9629e765729244b5d807838,yes,269
rep10,child (agent-built),M2013_Yb__nia_3_ASR_1_f100,2013[Yb][nia]3[ASR]1,/home1/users/Bei/ws/rep10/mod/M2013_Yb__nia_3_ASR_1_f100.cif,analysis/fig3/rep10/mod/M2013_Yb__nia_3_ASR_1_f100.cif,13681,065b455930a1812728f3f011f8d9b8a411cef4a721695bea46619abbc6997987,yes,365
rep10,"parent (frozen manifest, from workspace db/)",2013[Yb][nia]3[ASR]1,2013[Yb][nia]3[ASR]1,/home1/users/Bei/ws/rep10/db/2013[Yb][nia]3[ASR]1.cif,analysis/fig3/rep10/db/2013[Yb][nia]3[ASR]1.cif,16318,18f02e6bcabbb59e80ef3f19a485a39ec7991ee45a1f03f2198eea722b40ed28,yes,236
rep15,child (agent-built),2011[FeHo][nan]3[FSR]1+DEAQ,2011[FeHo][nan]3[FSR]1,/home1/users/Bei/ws/rep15/cifs/2011[FeHo][nan]3[FSR]1+DEAQ.cif,analysis/fig3/rep15/cifs/2011[FeHo][nan]3[FSR]1+DEAQ.cif,7856,2ba6a38d1a0678b8125b2b28f27f42bcdab9146597e0d3a3f7495a7fb24feb81,yes,190
rep15,"parent (frozen manifest, from workspace db/)",2011[FeHo][nan]3[FSR]1,2011[FeHo][nan]3[FSR]1,/home1/users/Bei/ws/rep15/db/2011[FeHo][nan]3[FSR]1.cif,analysis/fig3/rep15/db/2011[FeHo][nan]3[FSR]1.cif,15668,0c5a5eba789e41f48ca5ac36a81d29a79b4ba8fc9a509ec725bafc4c1e8e697c,yes,226
