# Descriptor tail for the Figure 4 interim plan. FROM BENCHMARK PROPERTIES ONLY; no answer-key input. Rule: population = the 9,167 coordinate-distinct representatives (lexicographically first coreid per group, benchmark/frozen/coord_keys.json), minus the 6 sealed exclusion-set structures; take the 1,000 highest helium void fraction (vf_he), then add every remaining structure with largest cavity diameter d_max > 15 Angstrom. Descriptors from /home1/users/Bei/recon/out/c00-c39.csv (geom.py: vf_he = fraction of cell where a He probe centre fits; d_max = 2*max min_i(|r-r_i|-sigma_i/2)). RECORDED BEFORE ANY RUN. Skip this line.
n,structure_id,vf_he,d_max,selected_by
1,0000[Cd][nan]3[ASR]6,0.337075,8.54137,vf_he_top1000
2,0000[Cd][nbo]3[ASR]1,0.352773,10.3778,vf_he_top1000
3,0000[Co][nan]3[ASR]14,0.351111,11.0718,vf_he_top1000
4,0000[Co][rho]3[ASR]1,0.350908,16,vf_he_top1000
5,0000[CuZr][flu]3[ASR]1,0.354532,9.59213,vf_he_top1000
6,0000[Cu][tbo]3[ASR]1,0.80881,16,vf_he_top1000
7,0000[Cu][tbo]3[ASR]2,0.36694,12.5421,vf_he_top1000
8,0000[DyCu][sqc]3[ASR]1,0.364758,9.59196,vf_he_top1000
9,0000[Er][lcy]3[ASR]1,0.40065,11.9305,vf_he_top1000
10,0000[Er][nan]3[ASR]1,0.404514,10.0891,vf_he_top1000
11,0000[Fe][acs]3[ASR]1,0.356513,8.35062,vf_he_top1000
12,0000[Fe][acs]3[ASR]2,0.356433,8.42941,vf_he_top1000
13,0000[Fe][nbo]3[ASR]1,0.662698,16,vf_he_top1000
14,0000[Gd][nan]3[ASR]1,0.367543,10.1677,vf_he_top1000
15,0000[Ho][nan]3[ASR]1,0.354535,9.56527,vf_he_top1000
16,0000[Lu][lcy]3[ASR]1,0.391296,12.387,vf_he_top1000
17,0000[Mn][fns]3[ASR]1,0.399704,11.8768,vf_he_top1000
18,0000[U][bcu]3[ASR]1,0.463085,14.0882,vf_he_top1000
19,0000[ZnCd][nan]3[ASR]1,0.340593,8.60931,vf_he_top1000
20,0000[Zn][ith]3[ASR]1,0.396484,14.9721,vf_he_top1000
21,0000[Zn][nts]3[ASR]1,0.541601,16,vf_he_top1000
22,0000[Zn][pcu]3[ASR]4,0.317117,8.2051,vf_he_top1000
23,0000[Zr][bcu]3[ASR]1,0.572113,13.548,vf_he_top1000
24,1995[Ag][nan]3[ION]1,0.331791,11.6051,vf_he_top1000
25,2000[Zn][pts]3[ASR]1,0.356186,10.1464,vf_he_top1000
26,2001[Cd][lvt]3[ASR]1,0.450454,9.29578,vf_he_top1000
27,2001[Cu][nan]3[ASR]2,0.341052,15.795,vf_he_top1000
28,2001[Cu][nan]3[ASR]3,0.341052,15.795,vf_he_top1000
29,2001[La][noz]3[ION]1,0.372142,8.20149,vf_he_top1000
30,2001[Zn][nia]3[ASR]1,0.436478,10.1203,vf_he_top1000
31,2002[Ce][pcu]3[ASR]1,0.338196,8.0737,vf_he_top1000
32,2002[Eu][pcu]3[ASR]1,0.334626,8.09928,vf_he_top1000
33,2002[Tb][pcu]3[ASR]1,0.336258,8.05161,vf_he_top1000
34,2002[Zn][pcu]3[ASR]1,0.507378,14.4508,vf_he_top1000
35,2002[Zn][pcu]3[ASR]2,0.375483,14.435,vf_he_top1000
36,2002[Zn][pcu]3[ASR]3,0.646244,16,vf_he_top1000
37,2002[Zn][pcu]3[ASR]4,0.765932,16,vf_he_top1000
38,2003[Ni][tfz]3[ASR]1,0.486746,14.7029,vf_he_top1000
39,2004[Cr][flu]3[ASR]1,0.519145,16,vf_he_top1000
40,2004[Cr][reo]3[ASR]1,0.494322,16,vf_he_top1000
41,2004[Cu][dia]3[ASR]4,0.334562,7.07971,vf_he_top1000
42,2004[Yb][sxd]3[ION]1,0.336508,11.8178,vf_he_top1000
43,2005[Co][nan]3[ASR]3,0.356444,11.7267,vf_he_top1000
44,2005[Cr][mtn]3[ASR]1,0.618916,16,vf_he_top1000
45,2005[Cu][lvt]3[ASR]1,0.527951,11.6101,vf_he_top1000
46,2005[Cu][pts]3[ASR]2,0.529686,10.2569,vf_he_top1000
47,2005[Er][nan]3[ASR]3,0.332674,10.4991,vf_he_top1000
48,2005[Ho][nan]3[ASR]1,0.333403,10.4438,vf_he_top1000
49,2005[Tb][nan]3[ASR]3,0.335352,10.3746,vf_he_top1000
50,2005[Y][nan]3[ASR]1,0.328711,10.3662,vf_he_top1000
51,2005[Zn][nan]3[ASR]3,0.356444,11.5277,vf_he_top1000
52,2005[Zn][pcu]3[ASR]4,0.506768,14.4876,vf_he_top1000
53,2005[Zn][pcu]3[ASR]5,0.506768,14.4842,vf_he_top1000
54,2005[Zn][pcu]3[ASR]6,0.505547,14.4649,vf_he_top1000
55,2005[Zn][pcu]3[ASR]7,0.505547,14.4773,vf_he_top1000
56,2005[Zn][pcu]3[ASR]8,0.506768,14.4903,vf_he_top1000
57,2005[Zn][pcu]3[ASR]9,0.507378,14.4979,vf_he_top1000
58,2006[Mn][nan]3[ASR]2,0.451524,13.7,vf_he_top1000
59,2006[Nd][nan]3[ASR]1,0.383817,9.42234,vf_he_top1000
60,2006[Zn][cml]3[ASR]1,0.374827,12.3724,vf_he_top1000
61,2006[Zn][pcu]3[ASR]1,0.500662,14.485,vf_he_top1000
62,2006[Zn][pcu]3[ASR]7,0.501272,14.4827,vf_he_top1000
63,2006[Zn][pcu]3[ASR]8,0.501883,14.4667,vf_he_top1000
64,2006[Zn][pcu]3[ASR]9,0.605373,16,vf_he_top1000
65,2007[Cd][nan]3[ASR]3,0.502861,16,vf_he_top1000
66,2007[CuMn][pcu]3[ASR]1,0.362459,7.1985,vf_he_top1000
67,2007[CuMn][pcu]3[ASR]2,0.363589,7.20041,vf_he_top1000
68,2007[Cu][tbo]3[ASR]1,0.715211,16,vf_he_top1000
69,2007[Cu][tbo]3[ASR]2,0.772596,16,vf_he_top1000
70,2007[Cu][the]3[ION]1,0.58018,16,vf_he_top1000
71,2007[Eu][pcu]3[ASR]1,0.316458,8.01204,vf_he_top1000
72,2007[Fe][tbo]3[ASR]1,0.370076,12.7202,vf_he_top1000
73,2007[Mn][the]3[ION]1,0.355922,16,vf_he_top1000
74,2007[Zn][pcu]3[ASR]3,0.510432,14.4188,vf_he_top1000
75,2007[Zn][rob]3[ASR]1,0.426615,9.36558,vf_he_top1000
76,2008[Cd][rho]3[ASR]1,0.314128,16,vf_he_top1000
77,2008[Cd][rho]3[ASR]2,0.311957,16,d_max>15
78,2008[Cd][rho]3[FSR]2,0.311957,16,d_max>15
79,2008[Co][nan]3[ASR]2,0.345778,11.3999,vf_he_top1000
80,2008[Co][pts]3[ASR]1,0.323276,9.29028,vf_he_top1000
81,2008[CuW][acs]3[ASR]1,0.315775,8.06726,vf_he_top1000
