# Figure-4 INTERIM export. One row per structure with BOTH pressure legs ok.
# exported            : 2026-09-06T06:52:41Z  (2026-09-06 15:52 KST, cluster clock)
# source              : logs/fig4.runs + RASPA .data on dirac-bei, joined to
#                       screen/fig4_ledger.csv (cycles) and harness/fig4_submit.py
#                       load_queue() (segment). Read-only; nothing was submitted.
# units               : N65, N5_8, working_capacity, uncertainty, agent_value are all
#                       cm^3 (STP)/cm^3 framework. N65 is 65 bar, N5_8 is 5.8 bar,
#                       working_capacity = N65 - N5_8, uncertainty = legs in quadrature.
#
# per-segment completion   both legs ok / structures in segment   ->  rows exported
#   sample             1497 /   1500  ( 99.8%)            1497
#   descriptor_tail     847 /    858  ( 98.7%)             847
#   agent_tail          124 /    571  ( 21.7%)             124
#   claims                0 /      2  (  0.0%)               0
#   TOTAL              2468 /   2931            2468
#   Segments are OPEN. These rows are a subsample of each segment, so the top of this
#   file is not the top of the segment: an interim view, not a result.
#
# note: 76 structure(s) appear on MORE THAN ONE ROW because they are in
#   the queue at two grades, which are two separate measurements at different cycle
#   counts. Key on (structure_id, segment), not on structure_id: 0000[Cu][tbo]3[ASR]1, 0000[Cu][tbo]3[ASR]2, 0000[Er][lcy]3[ASR]1, 0000[Er][nan]3[ASR]1, 0000[Lu][lcy]3[ASR]1, ...
# note: 46 ok run(s) in logs/fig4.runs belong to no Figure-4 queue segment
#   (the Stage-0 ppn=1 requeue writes to the same log) and are excluded.
# agent_value is the HIGHEST agent-reported deliverable_capacity for that structure in
#   analysis/fig2_claims_long.csv, and agent_run the run that reported it. EMPTY MEANS
#   UNCLAIMED, NOT ZERO. It is the top of a band, not a number: the highest retained
#   claim is 200.125 +/- 0.529 (rep06, 2016[Cu][pts]3[ASR]1), yet 12 runs on that one
#   structure span 198.85-200.12, so the fleet's own spread there is ~1.3 units.
#
# Every line above begins '#' and is header; the CSV header row follows. No structure id
#   contains '#', so pandas.read_csv(path, comment='#') reads this file as-is.
structure_id,segment,init_cycles,production_cycles,N65,N5_8,working_capacity,uncertainty,agent_value,agent_run
2021[Al][nan]3[ASR]24,sample,2000,10000,257.177887,61.188679,195.989208,1.371608,195.510,rep15
2013[Zn][pcu]3[ASR]6,sample,2000,10000,227.229458,37.072911,190.156547,0.839343,,
2020[Fe][nuc]3[ASR]1,sample,2000,10000,218.639285,32.201654,186.437631,0.912376,,
2012[Zn][pcu]3[ASR]11,sample,2000,10000,218.708257,32.509888,186.198369,0.866103,,
2019[In][mmt]3[ASR]1,sample,2000,10000,242.885227,58.453906,184.431321,1.152097,,
2023[Cu][nan]3[ASR]6,sample,2000,10000,235.954256,52.491053,183.463202,0.626605,,
2011[Cu][pto]3[ASR]1,sample,2000,10000,209.489016,26.641134,182.847882,1.474445,,
2023[Cu][nan]3[ASR]9,sample,2000,10000,245.682331,63.415533,182.266798,1.256657,,
2013[SiCu][pcu]3[ASR]1,sample,2000,10000,253.718054,72.217994,181.500060,2.104498,,
2016[Zn][nts]3[ASR]1,sample,2000,10000,241.120691,59.818600,181.302091,0.828617,,
2016[Cu][nbo]3[ASR]8,sample,2000,10000,234.090155,53.742564,180.347590,0.979501,,
2016[Cu][nbo]3[ASR]48,sample,2000,10000,239.742349,59.566536,180.175813,1.248167,,
2013[Zn][pcu]3[ASR]5,sample,2000,10000,214.073771,34.372414,179.701357,3.392550,,
2015[Cu][nan]3[ASR]13,sample,2000,10000,239.446494,60.270253,179.176241,1.450081,,
2020[Zr][scu]3[ASR]1,sample,2000,10000,241.789455,65.139125,176.650329,2.420231,,
2010[Co][lvt]3[ASR]1,sample,2000,10000,205.932859,29.714222,176.218637,1.311659,,
2014[Zn][pcu]3[ASR]14,sample,2000,10000,207.568842,31.709119,175.859723,2.758542,,
2010[Zn][pyr]3[ASR]1,sample,2000,10000,201.004825,26.296795,174.708030,1.820722,,
2016[Cu][nbo]3[ASR]19,sample,2000,10000,241.143915,66.713081,174.430834,1.140834,,
2014[Cu][nan]3[ASR]3,sample,2000,10000,243.500343,70.568203,172.932140,1.098588,,
2019[Zn][ant]3[ASR]1,sample,2000,10000,233.417896,61.264460,172.153436,1.375387,,
2020[Hf][flu]3[ASR]1,sample,2000,10000,211.371676,39.664143,171.707533,1.029670,,
2015[Zn][rtl]3[ASR]2,sample,2000,10000,200.209530,29.037281,171.172249,1.335836,,
2020[Zr][flu]3[ASR]2,sample,2000,10000,238.104802,67.203710,170.901092,1.648130,,
2011[Cu][nts]3[ASR]1,sample,2000,10000,229.949570,59.315185,170.634385,0.885403,,
2010[Cu][nts]3[ASR]2,sample,2000,10000,203.013461,32.750311,170.263150,2.082485,,
2013[ZnSi][nan]3[ASR]1,sample,2000,10000,235.282530,65.750396,169.532133,1.364913,,
2011[Cd][zzz]3[ASR]1,sample,2000,10000,216.765261,47.294598,169.470664,2.068028,,
2016[Cu][nbo]3[ASR]40,sample,2000,10000,244.070700,75.025340,169.045360,1.020389,,
2020[Mn][sql]2[ASR]2,sample,2000,10000,253.046645,84.207605,168.839040,2.169128,,
2019[Th][bcu]3[ASR]1,sample,2000,10000,216.236528,47.438567,168.797961,1.123278,,
2016[Cu][nbo]3[ASR]39,sample,2000,10000,244.270711,75.548797,168.721914,1.560025,,
2014[In][nan]3[ASR]3,sample,2000,10000,248.634763,80.049544,168.585219,2.821128,,
2023[Cu][nan]3[ASR]5,sample,2000,10000,239.207751,70.654463,168.553289,0.977370,,
2012[Zn][srs]3[ASR]2,sample,2000,10000,213.078027,44.879541,168.198487,2.695990,,
2016[Zr][bct]3[ASR]1,sample,2000,10000,211.553857,44.536991,167.016865,0.662248,,
2023[Zn][hmc]3[ASR]1,sample,2000,10000,243.141060,76.175401,166.965659,1.304339,,
2014[Cu][nan]3[ASR]1,sample,2000,10000,199.085186,32.412402,166.672784,1.409885,,
2019[Fe][acs]3[ASR]1,sample,2000,10000,234.303523,67.640385,166.663138,1.329263,,
2019[InCu][nbo]3[ASR]1,sample,2000,10000,239.990013,73.748384,166.241629,0.777725,,
2018[Yb][fcu]3[ASR]1,sample,2000,10000,253.937227,87.805670,166.131557,3.848788,,
2018[Zr][nan]3[ASR]5,sample,2000,10000,231.357682,66.159182,165.198500,1.268704,,
2018[Cr][tbo]3[ASR]1,sample,2000,10000,231.208595,66.141253,165.067341,2.163133,,
2020[Zn][tbo]3[ASR]1,sample,2000,10000,237.303031,73.249452,164.053578,2.498323,,
2015[Eu][nan]3[ASR]9,sample,2000,10000,219.899781,57.097239,162.802542,1.023930,,
2018[Zn][bcu]3[ASR]1,sample,2000,10000,232.140893,69.727471,162.413423,1.086555,,
2013[Cu][nan]3[ASR]9,sample,2000,10000,239.430140,77.096885,162.333254,1.372608,,
2021[Y][pcu]3[ASR]1,sample,2000,10000,219.639689,57.571991,162.067699,1.545261,,
2017[Zn][sql]2[ASR]1,sample,2000,10000,238.152724,76.507671,161.645053,3.385591,,
2019[Cd][tfz]3[ASR]3,sample,2000,10000,212.913474,51.438149,161.475325,0.986530,,
2017[Cu][pto]3[ASR]1,sample,2000,10000,204.293804,43.033377,161.260428,0.902158,,
2012[Zn][nan]3[ASR]37,sample,2000,10000,217.879282,56.839543,161.039739,1.665639,,
2016[Cu][ubo]3[ASR]1,sample,2000,10000,247.533653,87.062809,160.470844,1.338901,,
2014[Cu][tbo]3[ASR]8,sample,2000,10000,229.310390,68.863812,160.446578,2.348762,,
2020[Cu][tbo]3[ASR]2,sample,2000,10000,230.384448,70.119606,160.264842,2.718010,,
2014[Cu][tbo]3[ASR]13,sample,2000,10000,230.045968,69.860948,160.185020,2.484016,,
2021[Cu][pcu]3[ASR]3,sample,2000,10000,226.701264,66.612431,160.088832,1.315819,,
2020[Zn][nan]3[ASR]8,sample,2000,10000,213.026160,52.980919,160.045241,1.938982,,
2012[Cu][tbo]3[ASR]2,sample,2000,10000,228.603734,68.941571,159.662163,1.950541,,
2014[In][unc]3[ASR]1,sample,2000,10000,252.523547,92.950051,159.573496,2.197603,,
2009[Cu][tbo]3[ASR]7,sample,2000,10000,230.310906,71.356921,158.953985,2.118171,,
2020[Cu][tbo]3[ASR]6,sample,2000,10000,230.554700,71.643510,158.911190,3.105125,,
2013[U][fcu]3[ASR]1,sample,2000,10000,236.206458,77.329817,158.876641,3.594782,,
2022[Cu][tbo]3[ASR]10,sample,2000,10000,228.723092,70.375902,158.347190,2.325973,,
2013[Tb][umc]3[ASR]2,sample,2000,10000,223.987274,65.833711,158.153563,2.837409,,
2009[Cu][tbo]3[ASR]4,sample,2000,10000,230.077517,72.182217,157.895301,1.372831,,
2018[Zr][nan]3[ASR]4,sample,2000,10000,232.991882,76.020286,156.971596,1.161068,,
2014[Fe][nan]3[ASR]9,sample,2000,10000,234.059004,77.139827,156.919177,1.456826,,
2013[Cu][nan]3[ASR]1,sample,2000,10000,208.005089,51.713805,156.291283,0.892762,,
2013[Zr][reo]3[ASR]2,sample,2000,10000,194.387935,38.971568,155.416368,1.053911,,
0000[Zn][ith]3[ASR]1,sample,2000,10000,215.088821,59.753829,155.334992,2.034689,,
2017[Zn][nan]3[ASR]6,sample,2000,10000,217.871646,62.657964,155.213683,0.575892,,
2012[Cu][tbo]3[ASR]6,sample,2000,10000,233.912563,79.508255,154.404308,3.044189,,
0000[Cd][nbo]3[ASR]1,sample,2000,10000,215.519068,61.760469,153.758600,0.971577,,
