# Uniform random sample for the Figure 4 interim plan. seed=20260903; population = 9,167 coordinate-distinct groups of the frozen 12,499 (benchmark/frozen/coord_keys.json); representative = lexicographically first coreid in each group; draw = python random.Random(20260903).sample(sorted(reps), 1500). RECORDED BEFORE ANY RUN. Skip this line.
n,structure_id
1,0000[AsCd][cds]3[ASR]1
2,0000[Cd][fsc]3[ASR]1
3,0000[Cd][nan]2[ASR]2
4,0000[Cd][nan]3[ASR]10
5,0000[Cd][nan]3[ASR]13
6,0000[Cd][nan]3[ASR]8
7,0000[Cd][nbo]3[ASR]1
8,0000[Cd][sql]2[ASR]4
9,0000[Ce][ant]3[ASR]1
10,0000[Co][ins]3[ASR]3
11,0000[Co][nan]2[ASR]3
12,0000[Co][nan]2[ASR]4
13,0000[Co][nan]3[ASR]13
14,0000[Co][nan]3[ASR]15
15,0000[Co][nan]3[ASR]3
16,0000[Co][nan]3[ASR]6
17,0000[Co][pcu]3[ASR]2
18,0000[Co][rho]3[ASR]1
19,0000[Co][sit]3[ASR]1
20,0000[Co][sql]2[ASR]3
21,0000[Co][sxb]3[ASR]1
22,0000[CuNd][jaj]3[ASR]1
23,0000[CuZr][flu]3[ASR]1
24,0000[Cu][tbo]3[ASR]1
25,0000[Cu][ths]3[ASR]2
26,0000[DyCu][sqc]3[ASR]1
27,0000[Dy][sqc]3[ASR]1
28,0000[Eu][hcb]2[ASR]1
29,0000[Eu][sqc]3[ASR]1
30,0000[Fe][acs]3[ASR]1
31,0000[Ho][dia]3[FSR]1
32,0000[La][nan]3[FSR]1
33,0000[Mg][sra]3[ASR]1
34,0000[Sm][bcu]3[ASR]1
35,0000[Tb][nan]2[ASR]1
36,0000[Tb][pcu]3[ASR]1
37,0000[Tb][rtl]3[ASR]1
38,0000[Tb][tcs]3[ASR]1
39,0000[U][pcu]3[ASR]1
40,0000[Zn][hcb]2[ASR]2
41,0000[Zn][ith]3[ASR]1
42,0000[Zn][kgd]2[ASR]1
43,0000[Zn][nan]2[ASR]2
44,0000[Zn][nan]3[ASR]4
45,0000[Zn][nan]3[ASR]9
46,0000[Zn][pcu]3[ASR]3
47,0000[Zn][sql]2[ASR]1
48,0000[Zn][sra]3[ASR]1
49,1993[CoCu][tfk]3[FSR]1
50,1998[In][nan]3[ASR]1
51,1998[La][nan]3[ASR]1
52,1998[MoCu][nan]3[FSR]1
53,1998[Nd][sqc]3[ASR]1
54,1998[Ni][pcu]3[ASR]1
55,1999[Mn][pcu]3[ASR]1
56,1999[Zn][nan]3[ION]1
57,2000[Al][nan]3[ASR]1
58,2000[Cu][dia]3[ION]1
59,2000[Mn][lvt]2[FSR]1
60,2001[Cd][nan]3[ASR]1
61,2001[La][nan]3[FSR]1
62,2001[Zn][nan]3[ASR]1
63,2001[Zn][sab]3[ASR]1
64,2001[Zn][sit]3[ASR]1
65,2002[Cd][nan]3[ION]1
66,2002[Cd][scu]3[ASR]1
67,2002[Ga][nan]3[ION]1
68,2002[Lu][ins]3[FSR]1
69,2002[MoNi][nan]3[FSR]1
70,2003[Co][pts]3[ASR]1
71,2003[Cu][rob]3[ASR]6
72,2003[V][fsc]3[ASR]1
73,2003[V][sea]3[ASR]1
74,2003[Zn][nan]3[ASR]2
75,2004[Ag][pts]3[ASR]1
76,2004[Cd][dia]3[FSR]1
77,2004[Cd][nan]3[FSR]1
78,2004[Cr][reo]3[ASR]1
79,2004[Cu][asf]3[ASR]2
80,2004[Ho][pcu]3[ASR]1
81,2004[In][tcs]3[ASR]1
82,2004[La][lhb]3[ION]1
83,2004[La][nan]3[ASR]1
84,2004[Mn][dia]3[ASR]2
85,2004[Mn][dia]3[ASR]4
86,2004[Mn][fet]3[ASR]2
87,2004[Pr][nan]3[ASR]1
88,2004[Tb][mog]3[ASR]1
89,2005[Co][dia]3[ASR]3
90,2005[Co][nan]3[ASR]5
91,2005[Cu][eta]3[ASR]1
92,2005[Cu][sxd]3[ASR]1
93,2005[Er][nan]3[ASR]1
94,2005[Fe][bpq]3[ASR]1
95,2005[Fe][nan]3[ASR]1
96,2005[Mn][lvt]2[ASR]10
97,2005[Mn][lvt]2[ASR]2
98,2005[Mn][lvt]2[ASR]6
99,2005[Mn][lvt]2[ASR]8
100,2005[Mn][lvt]3[FSR]4
101,2005[Nd][sqc]3[FSR]1
102,2005[Pr][noy]3[ASR]1
103,2005[Sc][rob]3[ION]1
104,2005[ZnU][nan]3[ASR]1
105,2005[ZnU][nan]3[FSR]1
106,2005[Zn][dia]3[ASR]1
107,2005[Zn][nan]3[ASR]1
108,2005[Zn][nan]3[ASR]2
109,2005[Zn][nan]3[ASR]6
110,2005[Zn][rtl]3[ION]1
111,2005[Zn][srs]3[ASR]6
