rep,arm,rank,structure,wc,error,entry_class,excluded_reason,parent,source_locus
rep01,gated,1,2021[Cu][sql]2[ASR]6,207.11,0.54,database-excluded,"capacity artifact; complete anion deletion, divalent (net +8, azolate 0)",,REPORT.md line 105
rep01,gated,2,2016[Cu][pts]3[ASR]1,200.06,0.90,database-clean,,,REPORT.md line 105
rep01,gated,3,2013[Yb][nia]3[ASR]1,196.48,0.81,database-clean,,,REPORT.md line 105
rep02,ungated,1,2021[Cu][sql]2[ASR]6,207.03,0.20,database-excluded,"capacity artifact; complete anion deletion, divalent (net +8, azolate 0)",,REPORT.md line 38
rep02,ungated,2,2012[In][dia]3[ASR]4__1of2,204.17,0.14,agent-built,,2012[In][dia]3[ASR]4,REPORT.md line 38
rep02,ungated,3,2014[Zn][hms]3[ASR]1__1of2,203.66,0.23,agent-built,,2014[Zn][hms]3[ASR]1,REPORT.md line 38
rep02,ungated,4,2021[Mn][dia]3[FSR]1__1of2,201.23,0.03,agent-built,,2021[Mn][dia]3[FSR]1,REPORT.md line 38
rep02,ungated,5,2016[InCo][pts]3[ASR]1__1of2,200.16,0.08,agent-built,,2016[InCo][pts]3[ASR]1,REPORT.md line 38
rep03,ungated,0,(no ranked leaderboard filed),,,not-filed,no pipe table with >=2 structure ids anywhere in REPORT.md,,REPORT.md
rep04,ungated,0,(no ranked leaderboard filed),,,not-filed,no pipe table with >=2 structure ids anywhere in REPORT.md,,REPORT.md
rep05,gated,0,(no ranked leaderboard filed),,,not-filed,"no ranked leaderboard filed; champion in prose, plus a lattice-scaling table",,REPORT.md
rep06,gated,1,2021[Cu][sql]2[ASR]6,207.263,0.532,database-excluded,"capacity artifact; complete anion deletion, divalent (net +8, azolate 0)",,REPORT.md line 73
rep06,gated,2,2016[Cu][pts]3[ASR]1,200.125,0.529,database-clean,,,REPORT.md line 73
rep06,gated,3,2015[V][srs]3[ASR]1,197.654,0.256,database-clean,,,REPORT.md line 73
rep06,gated,4,2015[V][srs]3[FSR]1,197.412,0.609,database-clean,,,REPORT.md line 73
rep06,gated,5,2013[Yb][nia]3[ASR]1,196.220,0.493,database-clean,,,REPORT.md line 73
rep07,gated,1,2021[Cu][sql]2[FSR]6,206.9,0.5,database-excluded,"capacity artifact; complete anion deletion, divalent (net +8, azolate 0)",,REPORT.md line 38
rep07,gated,2,2016[Cu][pts]3[ASR]1,199.6,0.7,database-clean,,,REPORT.md line 38
rep07,gated,3,2015[V][srs]3[FSR]1,197.6,0.8,database-clean,,,REPORT.md line 38
rep07,gated,4,2020[In][nuc]3[ASR]1,196.0,0.3,database-clean,,,REPORT.md line 38
rep07,gated,5,2013[Yb][nia]3[ASR]1,195.9,0.9,database-clean,,,REPORT.md line 38
rep08,gated,1,2021[Cu][sql]2[ASR]6,206.982,0.444,database-excluded,"capacity artifact; complete anion deletion, divalent (net +8, azolate 0)",,REPORT.md line 53
rep08,gated,2,2021[Cu][sql]2[FSR]6,206.901,0.646,database-excluded,"capacity artifact; complete anion deletion, divalent (net +8, azolate 0)",,REPORT.md line 53
rep08,gated,3,2016[Cu][pts]3[ASR]1,199.742,0.901,database-clean,,,REPORT.md line 53
rep08,gated,4,2015[V][srs]3[ASR]1,197.593,0.660,database-clean,,,REPORT.md line 53
rep08,gated,5,2015[V][srs]3[FSR]1,197.253,0.704,database-clean,,,REPORT.md line 53
rep09,ungated,0,(no ranked leaderboard filed),,,not-filed,no pipe table with >=2 structure ids; champion in prose,,REPORT.md
rep10,ungated,1,2021[Cu][sql]2[ASR]6,207.5,1.3,database-excluded,"capacity artifact; complete anion deletion, divalent (net +8, azolate 0)",,REPORT.md line 44
rep10,ungated,2,2021[Cu][sql]2[FSR]6,207.1,1.7,database-excluded,"capacity artifact; complete anion deletion, divalent (net +8, azolate 0)",,REPORT.md line 44
rep10,ungated,3,2016[Cu][pts]3[ASR]1,200.1,0.6,database-clean,,,REPORT.md line 44
rep10,ungated,4,2013[Yb][nia]3[ASR]1,198.3,3.2,database-clean,,,REPORT.md line 44
rep10,ungated,5,2015[V][srs]3[FSR]1,197.9,1.8,database-clean,,,REPORT.md line 44
rep11,gated,1,2021[Cu][sql]2[FSR]6,207.19,0.41,database-excluded,"capacity artifact; complete anion deletion, divalent (net +8, azolate 0)",,REPORT.md line 23
rep11,gated,2,2021[Cu][sql]2[ASR]6,207.14,0.33,database-excluded,"capacity artifact; complete anion deletion, divalent (net +8, azolate 0)",,REPORT.md line 23
rep12,gated,0,(no ranked leaderboard filed),,,not-filed,no ranked leaderboard filed; champion + runner-up in prose,,REPORT.md
rep13,gated,0,(no ranked leaderboard filed),,,not-filed,no ranked leaderboard filed; champion + runner-up in prose,,REPORT.md
rep15,ungated,0,(no ranked leaderboard filed),,,not-filed,no pipe table with >=2 structure ids; champion in prose,,REPORT.md
rep16,ungated,1,2021[Cu][sql]2[ASR]6,207.00,0.63,database-excluded,"capacity artifact; complete anion deletion, divalent (net +8, azolate 0)",,REPORT.md line 25
rep16,ungated,2,2016[Cu][pts]3[ASR]1,199.90,0.37,database-clean,,,REPORT.md line 25
rep16,ungated,3,2015[V][srs]3[ASR]1,197.47,0.69,database-clean,,,REPORT.md line 25
rep16,ungated,4,2013[Yb][nia]3[ASR]1,196.24,0.36,database-clean,,,REPORT.md line 25
rep16,ungated,5,2020[In][nuc]3[ASR]1,195.64,0.30,database-clean,,,REPORT.md line 25
rep17,ungated,0,(no ranked leaderboard filed),,,not-filed,no ranked leaderboard filed; champion + runner-up in prose,,REPORT.md
