rep,arm,structure_as_named,stated_value,stated_error,is_runner_up,value_kind,tag,answer_key_status,answer_key_reason,source_section,verbatim_locus
rep03,ungated,2014[Co][twt]3[ASR]1,119.1,,no,working capacity (counter-example),prose-derived,database-clean,,§3,"""2014[Co][twt]3[ASR]1 has the highest 65-bar uptake in the benchmark at 263.9 and reaches only WC 119.1, because it still holds 144.8 at the discharge pressure."" Named to make a mechanism point, not as a ranked competitor."
rep03,ungated,2016[Cd][pts]3[ION]1,126.4,,no,adsorbed loading (bound-failure example),prose-derived,database-clean,,§3,"""2016[Cd][pts]3[ION]1 has vf_ch4 = 0.0006 and still adsorbs 126.4 cm3/cm3, implying up to 340x liquid methane density."" Cited to abandon a hard-sphere bound."
rep05,gated,2021[Cu][sql]2[ASR]6,206.71,0.14,no,working capacity (same framework as champion),prose-derived,database-excluded,"capacity artifact; complete anion deletion, divalent (net +8, azolate 0)",§1,"""...which the database also contains under the second name 2021[Cu][sql]2[ASR]6, byte-different files with identical cell and identical sorted coordinates."" The ASR twin of rep05's own champion, not a distinct competitor."
rep05,gated,2016[Cu][pts]3[ASR]1,198.85,,yes,working capacity (control column),prose-derived,database-clean,,§3 scaling table,"""| 2016[Cu][pts]3[ASR]1 | pts | 198.85 | 203.75 | 0.96 | +2.5% |"" -- control column is the unmodified database measurement."
rep05,gated,2015[V][srs]3[FSR]1,197.18,,yes,working capacity (control column),prose-derived,database-clean,,§3 scaling table,"""| 2015[V][srs]3[FSR]1 | srs | 197.18 | 209.97 | 0.94 | +6.5% |"""
rep05,gated,2020[In][nuc]3[ASR]1,195.36,,yes,working capacity (control column),prose-derived,database-clean,,§3 scaling table,"""| 2020[In][nuc]3[ASR]1 | nuc | 195.36 | 201.15 | 0.96 | +3.0% |"""
rep05,gated,2013[Yb][nia]3[ASR]1,195.07,,yes,working capacity (control column),prose-derived,database-clean,,§3 scaling table,"""| 2013[Yb][nia]3[ASR]1 | nia | 195.07 | 198.08 | 0.98 | +1.5% |"""
rep05,gated,2013[Ni][nia]3[ASR]1,193.63,,yes,working capacity (control column),prose-derived,database-clean,,§3 scaling table,"""| 2013[Ni][nia]3[ASR]1 | nia | 193.63 | 194.48 | 0.98 | +0.4% |"""
rep05,gated,2018[Y][bcu]3[ASR]1,189.80,,yes,working capacity (control column),prose-derived,database-clean,,§3 scaling table,"""| 2018[Y][bcu]3[ASR]1 | bcu | 189.80 | 189.80 | 1.00 | +0.0% |"" -- the one framework already at its own optimum."
rep05,gated,2007[Zn][pcu]3[ASR]5,189.63,,yes,working capacity (control column),prose-derived,database-clean,,§3 scaling table,"""| 2007[Zn][pcu]3[ASR]5 | pcu | 189.63 | 197.57 | 0.94 | +4.2% |"""
