# LOOKUP OUTSIDE THE SEALED RECORD. refcode/doi from benchmark/staging/*_data_SI_20250204.csv; citation titles fetched from api.crossref.org 2026-09-03. Skip this line.
structure_id,refcode,doi,common_name,source
2002[Zn][pcu]3[ASR]1,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2005[Cu][lvt]3[ASR]1,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2005[Cu][pts]3[ASR]2,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2005[Zn][pcu]3[ASR]6,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2007[Zn][pcu]3[ASR]3,ja074366osi20070816_031204_ASR_pacman,10.1021/ja074366o,,"CoRE SI metadata (All Solvent Removed, Source=SI); citation: Journal of the American Chemical Society | Postsynthetic Covalent Modification of a Neutral Metal-Organic Framework"
2007[Zn][pcu]3[ASR]5,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2009[Cu][pts]3[ASR]2,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2011[Cd][rtl]3[ASR]1,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2013[Cu][nbo]3,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository. 8 files in manifest: [ASR]1,4,5,6,7 and [FSR]1,4,6"
2013[Ni][nia]3[ASR]1,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2013[Yb][nia]3[ASR]1,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2014[Co][twt]3[ASR]1,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2015[V][srs]3[ASR]1,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2015[V][srs]3[FSR]1,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2015[Zn][ith]3[ASR]1,ja5b00365_si_002_1_ASR_pacman,10.1021/jacs.5b00365,,"CoRE SI metadata (All Solvent Removed, Source=SI); citation: Journal of the American Chemical Society | Systematic Ligand Modulation Enhances the Moisture Stability and Gas Sorption Characteristics of Quaternary Metal-Organic Frameworks"
2015[Zr][spn]3[ASR]1,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2016[Cd][pts]3[ION]1,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2016[Cu][pts]3[ASR]1,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2017[Zr][scu]3,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository. 6 files in manifest: [ASR]1-6"
2018[Y][bcu]3[ASR]1,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2020[Al][fmz]3[ASR]1,c8qi01396a2_ASR_pacman,10.1039/C8QI01396A,,"CoRE SI metadata (All Solvent Removed, Source=SI); citation: Inorganic Chemistry Frontiers | A superstable 3p-block metal-organic framework platform towards prominent CO2 and C1/C2-hydrocarbon uptake and separation performance and strong Lewis acid catalysis for CO2 fixation"
2020[In][nuc]3[ASR]1,c9qm00644c2_1_ASR_pacman,10.1039/C9QM00644C,,"CoRE SI metadata (All Solvent Removed, Source=SI); citation: Materials Chemistry Frontiers | Highly effective and fast removal of anionic carcinogenic dyes via an In3-cluster-based cationic metal-organic framework with nitrogen-rich ligand"
2021[Al][nan]3[ASR]24,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository"
2021[Cu][sql]2,,,,"NOT IN the CoRE SI metadata tables (they cover 2,664 of the 12,499 frozen world); no refcode or DOI exists for this structure anywhere in the repository. 20 files in manifest: [ASR]1-10 and [FSR]1-10; the claimed file is [ASR]6/[FSR]6"
2021[Cu][sql]2[ASR]6,d0ce01395a2_ASR_pacman,10.1039/D0CE01395A,,"CoRE SI metadata (All Solvent Removed, Source=SI); citation: CrystEngComm | Supramolecular Cu(II)-dipyridyl frameworks featuring weakly coordinating dodecaborate dianions for selective gas separation"
