# UNATTESTED. Post-seal read-only pull from bnode0 2026-09-02T12:0xZ. Outside the sealed 16/16 attestation; nothing attests these bytes are unchanged since the campaign. Workspace data postdates the filed REPORT.md, so row counts DO NOT match filed totals -- see the filed_total / count_matches_filed columns. Skip this line when parsing.
rep,arm,parent,child,ligands_removed,parent_natoms,child_natoms,density,volume,parent_wc,child_wc,delta,fidelity,source_file,source_sha256,pulled_at,attestation,workspace_mtime,filed_total,count_matches_filed
rep15,ungated,2003[GdZn][stp]3[FSR]1,2003[GdZn][stp]3[FSR]1+DEAQ,12,202,166,1.50,2876.007,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2004[Cd][nan]3[FSR]1,2004[Cd][nan]3[FSR]1+DEAQ,2,117,111,1.23,1714.248,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2004[VCo][xbe]3[FSR]1,2004[VCo][xbe]3[FSR]1+DEAQ,8,196,172,1.43,2343.201,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2005[Cd][nan]3[FSR]2,2005[Cd][nan]3[FSR]2+DEAQ,16,182,134,1.34,2099.928,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2005[Co][nan]3[FSR]4,2005[Co][nan]3[FSR]4+DEAQ,6,72,54,1.18,1322.299,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2006[Dy][sqc]3[FSR]1,2006[Dy][sqc]3[FSR]1+DEAQ,4,106,94,2.06,1154.294,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2007[Co][dmc]3[FSR]1,2007[Co][dmc]3[FSR]1+DEAQ,24,170,98,1.33,2201.001,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2007[GdCo][nan]3[FSR]1,2007[GdCo][nan]3[FSR]1+DEAQ,12,226,190,1.59,3096.420,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2007[U][nan]3[FSR]1,2007[U][nan]3[FSR]1+DEAQ,4,448,436,2.29,5335.924,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
rep15,ungated,2007[ZnSm][stp]3[FSR]1,2007[ZnSm][stp]3[FSR]1+DEAQ,12,202,166,1.44,2966.781,NOT IN AUTHORISED PULL,NOT IN AUTHORISED PULL,,screening cycles only (REPORT.md),ws/rep15/manifests/mods.csv,8e57441ee821c5f0…,2026-09-02T12:0xZ,none - post-seal pull,2026-08-30 12:42,"42 measured pairs, 41 of 42 children beat parent, mean +18.6, max +74.8","N/A - mods.csv is the BUILD manifest (206 rows), carries no WC column"
