# UNATTESTED. Post-seal read-only pull from bnode0 2026-09-02T12:0xZ. Outside the sealed 16/16 attestation; nothing attests these bytes are unchanged since the campaign. Workspace data postdates the filed REPORT.md, so row counts DO NOT match filed totals -- see the filed_total / count_matches_filed columns. Skip this line when parsing.
rep,arm,series,parent,variant,wc,error,n58,n65,cycles_from_selection,cycles_note,source_file,source_sha256,pulled_at,attestation,workspace_mtime,filed_total,count_matches_filed
rep17,ungated,methylation,2021[Cu][sql]2[ASR]6,me012,206.5920,0.2785,44.9760,251.5680,2000+10000,"e-series identified as claim grade (10,000+50,000) in REPORT.md §1; selection files are per-wave and may not attribute across waves",ws/rep17/analysis/e0.csv,"(45-file set, not individually hashed)",2026-09-02T12:0xZ,none - post-seal pull,various,me004 = 208.15 ± 0.37 in REPORT.md §1,YES for me004 - e3.csv gives 208.1526 ± 0.3704
rep17,ungated,methylation,2021[Cu][sql]2[ASR]6,me012,206.4833,0.4127,45.0455,251.5288,2000+10000,"e-series identified as claim grade (10,000+50,000) in REPORT.md §1; selection files are per-wave and may not attribute across waves",ws/rep17/analysis/e1.csv,"(45-file set, not individually hashed)",2026-09-02T12:0xZ,none - post-seal pull,various,me004 = 208.15 ± 0.37 in REPORT.md §1,YES for me004 - e3.csv gives 208.1526 ± 0.3704
rep17,ungated,methylation,2021[Cu][sql]2[ASR]6,me012,206.6692,0.4573,44.8835,251.5527,2000+10000,"e-series identified as claim grade (10,000+50,000) in REPORT.md §1; selection files are per-wave and may not attribute across waves",ws/rep17/analysis/e2.csv,"(45-file set, not individually hashed)",2026-09-02T12:0xZ,none - post-seal pull,various,me004 = 208.15 ± 0.37 in REPORT.md §1,YES for me004 - e3.csv gives 208.1526 ± 0.3704
rep17,ungated,methylation,2021[Cu][sql]2[ASR]6,me004,208.1526,0.3704,39.4135,247.5662,2000+10000,"e-series identified as claim grade (10,000+50,000) in REPORT.md §1; selection files are per-wave and may not attribute across waves",ws/rep17/analysis/e3.csv,"(45-file set, not individually hashed)",2026-09-02T12:0xZ,none - post-seal pull,various,me004 = 208.15 ± 0.37 in REPORT.md §1,YES for me004 - e3.csv gives 208.1526 ± 0.3704
rep17,ungated,fluorination,2021[Cu][sql]2[ASR]6,f025,198.3658,0.7504,34.8497,233.2154,2000+10000,"e-series identified as claim grade (10,000+50,000) in REPORT.md §1; selection files are per-wave and may not attribute across waves",ws/rep17/analysis/m1.csv,"(45-file set, not individually hashed)",2026-09-02T12:0xZ,none - post-seal pull,various,me004 = 208.15 ± 0.37 in REPORT.md §1,YES for me004 - e3.csv gives 208.1526 ± 0.3704
rep17,ungated,fluorination,2021[Cu][sql]2[ASR]6,f050,190.4478,0.7444,33.8266,224.2745,2000+10000,"e-series identified as claim grade (10,000+50,000) in REPORT.md §1; selection files are per-wave and may not attribute across waves",ws/rep17/analysis/m1.csv,"(45-file set, not individually hashed)",2026-09-02T12:0xZ,none - post-seal pull,various,me004 = 208.15 ± 0.37 in REPORT.md §1,YES for me004 - e3.csv gives 208.1526 ± 0.3704
rep17,ungated,methylation,2021[Cu][sql]2[ASR]6,me012,206.2740,0.8908,44.9453,251.2193,2000+10000,"e-series identified as claim grade (10,000+50,000) in REPORT.md §1; selection files are per-wave and may not attribute across waves",ws/rep17/analysis/m1.csv,"(45-file set, not individually hashed)",2026-09-02T12:0xZ,none - post-seal pull,various,me004 = 208.15 ± 0.37 in REPORT.md §1,YES for me004 - e3.csv gives 208.1526 ± 0.3704
rep17,ungated,methylation,2021[Cu][sql]2[ASR]6,me025,203.4985,0.9471,53.9828,257.4813,2000+10000,"e-series identified as claim grade (10,000+50,000) in REPORT.md §1; selection files are per-wave and may not attribute across waves",ws/rep17/analysis/m1.csv,"(45-file set, not individually hashed)",2026-09-02T12:0xZ,none - post-seal pull,various,me004 = 208.15 ± 0.37 in REPORT.md §1,YES for me004 - e3.csv gives 208.1526 ± 0.3704
rep17,ungated,methylation,2021[Cu][sql]2[ASR]6,me100,199.7268,0.5102,60.1312,259.8580,2000+10000,"e-series identified as claim grade (10,000+50,000) in REPORT.md §1; selection files are per-wave and may not attribute across waves",ws/rep17/analysis/m1.csv,"(45-file set, not individually hashed)",2026-09-02T12:0xZ,none - post-seal pull,various,me004 = 208.15 ± 0.37 in REPORT.md §1,YES for me004 - e3.csv gives 208.1526 ± 0.3704
rep17,ungated,methylation,2021[Cu][sql]2[ASR]6,me004,207.8207,1.2250,39.2656,247.0863,2000+10000,"e-series identified as claim grade (10,000+50,000) in REPORT.md §1; selection files are per-wave and may not attribute across waves",ws/rep17/analysis/m2.csv,"(45-file set, not individually hashed)",2026-09-02T12:0xZ,none - post-seal pull,various,me004 = 208.15 ± 0.37 in REPORT.md §1,YES for me004 - e3.csv gives 208.1526 ± 0.3704
rep17,ungated,methylation,2021[Cu][sql]2[ASR]6,me008,207.3989,1.1381,42.4463,249.8452,2000+10000,"e-series identified as claim grade (10,000+50,000) in REPORT.md §1; selection files are per-wave and may not attribute across waves",ws/rep17/analysis/m2.csv,"(45-file set, not individually hashed)",2026-09-02T12:0xZ,none - post-seal pull,various,me004 = 208.15 ± 0.37 in REPORT.md §1,YES for me004 - e3.csv gives 208.1526 ± 0.3704
rep17,ungated,methylation,2021[Cu][sql]2[ASR]6,me017,205.6064,1.1396,47.8426,253.4490,2000+10000,"e-series identified as claim grade (10,000+50,000) in REPORT.md §1; selection files are per-wave and may not attribute across waves",ws/rep17/analysis/m2.csv,"(45-file set, not individually hashed)",2026-09-02T12:0xZ,none - post-seal pull,various,me004 = 208.15 ± 0.37 in REPORT.md §1,YES for me004 - e3.csv gives 208.1526 ± 0.3704
