structure_id,x,y
0000[Ag][nan]3[ASR]1,0.9819565,16.630968
0000[Ag][sql]2[ASR]1,-4.5743985,13.000734
0000[Ag][sra]3[ASR]1,0.7518976,9.353818
0000[AsCd][cds]3[ASR]1,-3.5888262,14.815615
0000[Cd][bcu]3[ASR]1,1.9854821,10.177751
0000[Cd][deh]3[ASR]1,1.2665819,5.453045
0000[Cd][dia]3[ASR]1,0.88930756,13.669051
0000[Cd][fsc]3[ASR]1,-2.432841,11.787309
0000[Cd][nan]2[ASR]1,3.601967,10.687669
0000[Cd][nan]2[ASR]2,-4.5756187,13.550521
0000[Cd][nan]3[ASR]1,4.9606104,10.46243
0000[Cd][nan]3[ASR]10,1.7680293,12.367629
0000[Cd][nan]3[ASR]11,1.6908392,12.428925
0000[Cd][nan]3[ASR]12,0.8247527,7.637677
0000[Cd][nan]3[ASR]13,6.037279,12.565249
0000[Cd][nan]3[ASR]4,2.3645077,14.012858
0000[Cd][nan]3[ASR]5,1.5632708,12.530334
0000[Cd][nan]3[ASR]6,0.5901842,3.8727026
0000[Cd][nan]3[ASR]7,2.298936,10.511085
0000[Cd][nan]3[ASR]8,0.15650012,12.838773
0000[Cd][nbo]3[ASR]1,-0.6582855,1.8586986
0000[Cd][pcu]3[ASR]2,5.0315886,11.431463
0000[Cd][pcu]3[ASR]3,-2.6663072,11.368376
0000[Cd][pcu]3[ASR]4,1.6375585,8.545675
0000[Cd][pts]3[ASR]2,-0.34781694,10.813357
0000[Cd][rob]3[ASR]1,0.677119,6.0825095
0000[Cd][sql]2[ASR]1,-4.6778197,12.149981
0000[Cd][sql]2[ASR]2,1.0921944,12.995362
0000[Cd][sql]2[ASR]4,-1.5759819,12.160338
0000[Cd][sra]3[ASR]2,2.3988757,14.426371
0000[Cd][sra]3[ASR]3,3.620211,11.291356
0000[Cd][tfw]3[ASR]1,3.7530077,14.430214
0000[CeZr][pth]3[ASR]1,-3.2036026,21.836475
0000[Ce][ant]3[ASR]1,-1.2860973,12.778942
0000[Ce][nan]3[ASR]1,2.3956409,14.617814
0000[Ce][nan]3[ASR]2,-3.0797205,21.952333
0000[CoSi][nan]3[ASR]1,1.8365096,6.7559266
0000[Co][bcu]3[ASR]1,1.6891767,13.252255
0000[Co][dia]3[ASR]1,-0.7981129,10.893879
0000[Co][ins]3[ASR]2,1.302097,13.54357
0000[Co][ins]3[ASR]3,1.6996398,12.740977
0000[Co][mab]3[ASR]1,0.98476714,11.7558975
0000[Co][nan]2[ASR]1,1.1404134,10.429726
0000[Co][nan]2[ASR]3,-4.1106315,13.709053
0000[Co][nan]2[ASR]4,-5.7678947,6.2244253
0000[Co][nan]3[ASR]1,1.8227905,13.123118
0000[Co][nan]3[ASR]10,-4.7246366,-2.5448303
0000[Co][nan]3[ASR]11,-4.724874,-2.5450635
0000[Co][nan]3[ASR]13,2.3810062,8.05211
0000[Co][nan]3[ASR]14,-6.9741173,17.450954
0000[Co][nan]3[ASR]15,-0.24728815,3.6617403
0000[Co][nan]3[ASR]18,4.79037,7.2365136
0000[Co][nan]3[ASR]19,2.8208172,10.540402
0000[Co][nan]3[ASR]2,1.8026513,16.325508
0000[Co][nan]3[ASR]3,1.7375165,13.281371
0000[Co][nan]3[ASR]4,-4.724451,-2.5449264
0000[Co][nan]3[ASR]5,-4.5641446,10.252582
0000[Co][nan]3[ASR]6,-4.7243924,-2.5445914
0000[Co][nan]3[ASR]7,-4.725434,-2.5456896
0000[Co][nan]3[ASR]8,-4.7248306,-2.5452888
0000[Co][nan]3[ASR]9,-4.7251983,-2.5453522
0000[Co][nan]3[FSR]1,1.8139684,16.290758
0000[Co][nan]3[FSR]2,1.8223292,13.15243
0000[Co][pcu]3[ASR]1,-4.393087,10.35232
0000[Co][pcu]3[ASR]2,1.4498906,12.872822
0000[Co][pcu]3[ASR]3,1.5033944,13.333012
0000[Co][rho]3[ASR]1,-0.8567111,3.21839
0000[Co][sit]3[ASR]1,0.34842426,3.8407454
0000[Co][sit]3[ASR]2,0.21081443,3.5465968
0000[Co][sql]2[ASR]2,0.075795285,12.771234
0000[Co][sql]2[ASR]3,-4.6928225,11.012858
0000[Co][sxb]3[ASR]1,3.8929338,7.6331186
0000[Co][tfz]3[ASR]1,1.6386513,13.552251
0000[CrMn][qtz]3[ASR]1,-3.0456688,21.991066
0000[CuMo][nan]2[ASR]1,0.5533443,16.276192
0000[CuNd][jaj]3[ASR]1,3.0460455,8.973834
0000[CuSi][pcu]3[ASR]1,1.0273734,2.6951835
0000[CuTb][stp]3[ASR]1,3.3681412,17.208931
0000[CuZr][flu]3[ASR]1,-1.1435283,6.901002
0000[Cu][acs]3[ASR]1,1.3516341,17.961267
0000[Cu][apo]3[ASR]1,2.3998585,9.405683
0000[Cu][bbf]3[ASR]1,0.25732785,6.618471
0000[Cu][dia]3[ASR]1,3.616137,13.889532
0000[Cu][dia]3[ASR]2,1.6991069,12.016964
0000[Cu][etb]3[ASR]1,4.1420445,12.711405
0000[Cu][hex]3[ASR]1,-2.9383926,9.689971
0000[Cu][nan]3[ASR]1,1.2946081,11.913244
0000[Cu][nan]3[ASR]4,-6.2937517,5.4252315
0000[Cu][nbo]3[ASR]1,5.7866635,11.935634
0000[Cu][pcu]3[ASR]1,6.385138,11.671916
0000[Cu][tbo]3[ASR]1,-2.099331,-0.12672427
0000[Cu][tbo]3[ASR]2,-2.0023339,2.4659178
0000[Cu][ths]3[ASR]1,6.4928336,21.778692
0000[Cu][ths]3[ASR]2,6.4775796,21.759956
0000[Cu][ths]3[ASR]3,1.3672087,12.239129
