run,group,structure_id,rank_in_run,quantity,reported_value,reported_uncertainty,accuracy_tier,structure_class,reported_how
rep01,C,2021[Cu][sql]2[ASR]6,1,deliverable_capacity,207.11,0.54,high,excluded,ranked_list
rep02,U,2021[Cu][sql]2[ASR]6,1,deliverable_capacity,207.03,0.20,high,excluded,ranked_list
rep03,U,2021[Cu][sql]2[ASR]6,1,deliverable_capacity,207.05,0.21,high,excluded,prose
rep04,U,2021[Cu][sql]2[ASR]6,1,deliverable_capacity,206.8,0.6,high,excluded,ranked_list
rep05,C,2021[Cu][sql]2[FSR]6,1,deliverable_capacity,206.71,0.14,high,excluded,prose
rep06,C,2021[Cu][sql]2[ASR]6,1,deliverable_capacity,207.07,0.38,high,excluded,ranked_list
rep07,C,2021[Cu][sql]2[FSR]6,1,deliverable_capacity,206.9,0.5,high,excluded,ranked_list
rep08,C,2021[Cu][sql]2[ASR]6,1,deliverable_capacity,206.98,0.44,high,excluded,ranked_list
rep09,U,2021[Cu][sql]2,1,deliverable_capacity,207.11,0.43,high,excluded,prose
rep10,U,2021[Cu][sql]2[ASR]6,1,deliverable_capacity,207.0,,high,excluded,ranked_list
rep11,C,2021[Cu][sql]2[FSR]6,1,deliverable_capacity,207.19,0.41,high,excluded,ranked_list
rep12,C,2021[Cu][sql]2[ASR]6,1,deliverable_capacity,207.06,0.39,high,excluded,prose
rep13,C,2015[V][srs]3[FSR]1,1,deliverable_capacity,197.3,0.4,high,retained,prose
rep15,U,2021[Cu][sql]2[FSR]6,1,deliverable_capacity,207.0,0.7,high,excluded,prose
rep16,U,2021[Cu][sql]2[ASR]6,1,deliverable_capacity,207.0,0.2,high,excluded,ranked_list
rep17,U,2021[Cu][sql]2[ASR]6,1,deliverable_capacity,207.07,0.37,high,excluded,prose
rep01,C,2016[Cu][pts]3[ASR]1,2,deliverable_capacity,200.06,0.90,,retained,ranked_list
rep01,C,2013[Yb][nia]3[ASR]1,3,deliverable_capacity,196.48,0.81,,retained,ranked_list
rep02,U,2012[In][dia]3[ASR]4__1of2,2,deliverable_capacity,204.17,0.14,,agent_modified,ranked_list
rep02,U,2014[Zn][hms]3[ASR]1__1of2,3,deliverable_capacity,203.66,0.23,,agent_modified,ranked_list
rep02,U,2021[Mn][dia]3[FSR]1__1of2,4,deliverable_capacity,201.23,0.03,,agent_modified,ranked_list
rep02,U,2016[InCo][pts]3[ASR]1__1of2,5,deliverable_capacity,200.16,0.08,,agent_modified,ranked_list
rep04,U,S06782,2,deliverable_capacity,199.68,0.45,,retained,ranked_list
rep04,U,S06782,3,deliverable_capacity,199.67,0.77,,retained,ranked_list
rep04,U,S06178,4,deliverable_capacity,197.28,0.80,,retained,ranked_list
